epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_auc,val_auc
1,0.11441141366958618,0.0636005774140358,0.8069007396697998,0.906423032283783,0.8785572648048401,0.9562104344367981
2,0.06855127960443497,0.05799354612827301,0.9037530422210693,0.9163898229598999,0.9404215812683105,0.9567961692810059
3,0.06359351426362991,0.0598418191075325,0.9108958840370178,0.9208194613456726,0.9464687705039978,0.9569414258003235
4,0.06732409447431564,0.057857029139995575,0.9029055833816528,0.9163898229598999,0.9414311647415161,0.9548318982124329
5,0.06263221800327301,0.05606674402952194,0.9115012288093567,0.9230343103408813,0.947393536567688,0.9580318927764893
6,0.060740016400814056,0.05486700311303139,0.9151331782341003,0.9241417646408081,0.9504626393318176,0.9598206877708435
7,0.06063046678900719,0.05549004673957825,0.9154963493347168,0.9224806427955627,0.9514076709747314,0.9600556492805481
8,0.059837568551301956,0.054742053151130676,0.9173123240470886,0.9246954321861267,0.952010989189148,0.960610032081604
9,0.05907142907381058,0.05638320371508598,0.9167070388793945,0.9246954321861267,0.9528624415397644,0.961087703704834
10,0.05726120248436928,0.05442120134830475,0.9196125864982605,0.9274640083312988,0.9562289118766785,0.9628473520278931
11,0.05667484179139137,0.05236317589879036,0.9208232164382935,0.9258028864860535,0.9569297432899475,0.9647103548049927
12,0.055773600935935974,0.05119261145591736,0.9208232164382935,0.9258028864860535,0.9588419795036316,0.9661754369735718
13,0.05493772029876709,0.05286227911710739,0.92215496301651,0.9269102811813354,0.959720253944397,0.9673430919647217
14,0.054634757339954376,0.04958854615688324,0.9223970770835876,0.9280177354812622,0.9600988030433655,0.967891275882721
15,0.05401260405778885,0.050565142184495926,0.9219128489494324,0.9274640083312988,0.9623019695281982,0.9674062132835388
16,0.05324545502662659,0.04898585379123688,0.9230024218559265,0.9274640083312988,0.9629509449005127,0.970207691192627
17,0.05234414339065552,0.048760343343019485,0.9210653901100159,0.9280177354812622,0.9640986919403076,0.9696103930473328
18,0.052461836487054825,0.048714593052864075,0.9227603077888489,0.9274640083312988,0.964268684387207,0.9701101183891296
19,0.05206994339823723,0.04906183108687401,0.9214285612106323,0.9269102811813354,0.9653467535972595,0.9695680141448975
20,0.05252193287014961,0.05049760639667511,0.9231234788894653,0.9274640083312988,0.9641640782356262,0.9701897501945496
21,0.05111227557063103,0.048562102019786835,0.9242130517959595,0.9269102811813354,0.9655740261077881,0.9702113270759583
22,0.05037614703178406,0.04826604947447777,0.9249394536018372,0.9274640083312988,0.9668349623680115,0.9709128737449646
23,0.05052723363041878,0.04883303865790367,0.9223970770835876,0.9274640083312988,0.9674823880195618,0.9702665209770203
24,0.04979635775089264,0.04802580922842026,0.9244552254676819,0.9274640083312988,0.9679986238479614,0.9702211022377014
25,0.04950971156358719,0.047852061688899994,0.9259079694747925,0.9263566136360168,0.9680536389350891,0.9709423780441284
26,0.04979107156395912,0.048160359263420105,0.9242130517959595,0.9269102811813354,0.9685946106910706,0.971343994140625
27,0.04879200831055641,0.0476265475153923,0.9254237413406372,0.9291251301765442,0.9691972732543945,0.9709662199020386
28,0.0487772598862648,0.04779958352446556,0.9254237413406372,0.9285714030265808,0.9694623947143555,0.9713906049728394
29,0.04894152283668518,0.04744177311658859,0.9257869124412537,0.9269102811813354,0.9689022302627563,0.9721859693527222
30,0.04816744104027748,0.0484154038131237,0.9262712001800537,0.9285714030265808,0.9703561067581177,0.9712408781051636
31,0.049602437764406204,0.04696480557322502,0.9236077666282654,0.9291251301765442,0.9683448076248169,0.9717653393745422
32,0.04846229776740074,0.047694697976112366,0.9249394536018372,0.9296788573265076,0.9707801342010498,0.9715715646743774
33,0.04758058115839958,0.0477076955139637,0.926755428314209,0.9296788573265076,0.9711373448371887,0.9715304374694824
34,0.04788139462471008,0.04820910096168518,0.9271186590194702,0.9269102811813354,0.9710768461227417,0.9712987542152405
