epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_auc,val_auc
1,0.08214356005191803,0.07780975848436356,0.870460033416748,0.8931339979171753,0.9267258048057556,0.9386919736862183
2,0.07107516378164291,0.05450500175356865,0.9025423526763916,0.9219269156455994,0.935356616973877,0.963869571685791
3,0.06128133088350296,0.053716037422418594,0.9130750894546509,0.9197120666503906,0.9522319436073303,0.9664458632469177
4,0.057684287428855896,0.0505751334130764,0.9159806370735168,0.9258028864860535,0.9593908190727234,0.9687970876693726
5,0.05511980876326561,0.04828713834285736,0.9210653901100159,0.9285714030265808,0.9610201716423035,0.9692896008491516
6,0.05391659215092659,0.047725848853588104,0.9197336435317993,0.930232584476471,0.9639849662780762,0.9707227945327759
7,0.053271643817424774,0.0502316839993,0.9217917919158936,0.9208194613456726,0.9642572402954102,0.9698899984359741
8,0.052606116980314255,0.04931776970624924,0.9194915294647217,0.9285714030265808,0.965707004070282,0.9703541398048401
9,0.05059162154793739,0.04714544489979744,0.9240919947624207,0.9280177354812622,0.9682673215866089,0.9718462824821472
10,0.05006249621510506,0.045962583273649216,0.9222760200500488,0.9291251301765442,0.9696904420852661,0.9739595055580139
11,0.04871344566345215,0.04757678881287575,0.9251816272735596,0.9258028864860535,0.9707739353179932,0.9725999236106873
12,0.04773994907736778,0.04673837125301361,0.9261501431465149,0.9280177354812622,0.9731174111366272,0.9747285842895508
13,0.046189796179533005,0.04447714984416962,0.927239716053009,0.9296788573265076,0.9746224880218506,0.9764114618301392
14,0.04624173045158386,0.04474438354372978,0.9274818301200867,0.9324473738670349,0.9751038551330566,0.9769793748855591
15,0.04483918100595474,0.04351062327623367,0.9277239441871643,0.9335548281669617,0.9758306741714478,0.9779451489448547
16,0.04476653039455414,0.04443133622407913,0.9276028871536255,0.9313399791717529,0.9769342541694641,0.9775177240371704
17,0.043324291706085205,0.04430469498038292,0.9300242066383362,0.935215950012207,0.9794408679008484,0.9783523678779602
18,0.041969530284404755,0.04322124272584915,0.9315980672836304,0.935215950012207,0.9805611371994019,0.9785780310630798
19,0.040590398013591766,0.04241819307208061,0.9348668456077576,0.9357696771621704,0.982115626335144,0.9788792133331299
20,0.04117421433329582,0.04498530179262161,0.9324455261230469,0.9330011010169983,0.9816681742668152,0.9800646305084229
21,0.03864717483520508,0.04348199442028999,0.9392251968383789,0.9390919208526611,0.9836683869361877,0.9787191152572632
22,0.03649317845702171,0.04542737454175949,0.940314769744873,0.9435216188430786,0.9855838418006897,0.9803369045257568
23,0.03573973849415779,0.04242011904716492,0.9409201145172119,0.9330011010169983,0.9867208003997803,0.9802823066711426
24,0.03384661674499512,0.044212378561496735,0.9455205798149109,0.9407530426979065,0.9881460070610046,0.9803399443626404
25,0.03321143612265587,0.04433999955654144,0.9435835480690002,0.9291251301765442,0.9886049628257751,0.9795770049095154
26,0.03191803768277168,0.048062749207019806,0.9470944404602051,0.9418604373931885,0.9894937872886658,0.9808447360992432
27,0.03189907968044281,0.04214425012469292,0.9467312097549438,0.9390919208526611,0.9897750616073608,0.9807667136192322
28,0.02949664369225502,0.04780518636107445,0.9520581364631653,0.9429678916931152,0.9914507269859314,0.9814689755439758
29,0.028568662703037262,0.05568521097302437,0.9537530541419983,0.9424141645431519,0.9919729828834534,0.9807010889053345
30,0.02791306935250759,0.050789542496204376,0.9531477093696594,0.9396456480026245,0.9923563003540039,0.9794010519981384
31,0.028922418132424355,0.05590502917766571,0.9535108804702759,0.9374307990074158,0.9920036196708679,0.9783101081848145
32,0.026635078713297844,0.04881296306848526,0.9554479122161865,0.9385381937026978,0.9931354522705078,0.978492259979248
33,0.02587726153433323,0.050425030291080475,0.9571428298950195,0.9440752863883972,0.9935559630393982,0.9814192056655884
