Model,LR,Batch,GRU_Units,Dropout,Accuracy,Precision,Recall,F1-Score,TP,TN,FP,FN,Training_Time
Baseline,0.0003,64,64,0.3,0.9328968903436988,0.9939540507859734,0.874468085106383,0.9303904923599321,822,888,5,118,0:06:10
GWO-Optimized,0.001768637497672339,50,104,0.3525006802552025,0.9514457174031642,0.9829738933030647,0.9212765957446809,0.9511257550796266,866,878,15,74,0:07:41
