iteration, learning_rate         , batch_size, gru_units, dropout            , f1_score          , accuracy          , epochs_run
        1, 6.526258148184079e-05 ,        489,        62, 0.15301951936150587, 0.9133216986620128, 0.9174972314507198,         30
        2, 0.005155878901063954  ,         94,        17, 0.4599134284920383 , 0.9324870167339873, 0.9352159468438538,         18
        3, 0.007326458192933871  ,        460,        18, 0.15001848826109243, 0.9266365688487584, 0.9280177187153932,         19
        4, 0.00805524806325323   ,        476,       107, 0.32692221340603966, 0.9298345693097547, 0.9318936877076412,         16
        5, 0.000798118548838497  ,        444,       113, 0.4396477068416357 , 0.8960176991150443, 0.8959025470653378,          5
        6, 0.0035987304494670912 ,        470,        73, 0.19998750301471444, 0.9353916523727844, 0.9374307862679956,         28
        7, 0.003228061585340466  ,         92,       100, 0.34932476456227834, 0.932288752098489 , 0.9330011074197121,         21
        8, 0.0070170590787001505 ,         83,       110, 0.30524337580656336, 0.9297235023041475, 0.9324473975636767,          9
        9, 0.00012600431718037342,        303,        39, 0.469285941580191  , 0.916083916083916 , 0.920265780730897 ,         23
       10, 0.0019374360018740457 ,        443,        70, 0.455663104736285  , 0.9275862068965517, 0.9302325581395349,         30
       11, 0.005143996331253743  ,        512,        68, 0.38231982000571757, 0.9358533791523482, 0.937984496124031 ,         27
       12, 0.0036146867644989804 ,         64,        60, 0.1                , 0.9415073115860517, 0.9424141749723145,         19
       13, 0.005758823784457526  ,         64,        88, 0.16011216004879608, 0.9309551208285386, 0.9335548172757475,         11
       14, 1e-05                 ,        186,        70, 0.36132456705378907, 0.8524774774774775, 0.8549280177187154,         30
       15, 0.0032230426490465667 ,         94,        25, 0.45459268472338676, 0.9296102385107621, 0.9330011074197121,         18
       16, 0.006462921645145301  ,        441,        92, 0.1                , 0.9322314049586777, 0.9318936877076412,         21
       17, 0.004378281270454804  ,        182,       126, 0.2983100328447294 , 0.9274521183981428, 0.9307862679955703,         11
       18, 0.001880415137933843  ,        287,        55, 0.13745123863949663, 0.9292343387470998, 0.9324473975636767,         29
       19, 0.007253858784966357  ,        262,       102, 0.5                , 0.9384965831435079, 0.9401993355481728,         20
       20, 0.00437816689661912   ,        512,        22, 0.4530473633197519 , 0.9275028768699655, 0.9302325581395349,         30
       21, 0.004306392074352963  ,        487,        67, 0.2879437226415516 , 0.9268854346574554, 0.9296788482834994,         20
       22, 0.006396911052237651  ,        286,        66, 0.5                , 0.9359267734553776, 0.937984496124031 ,         17
       23, 0.007210613443921514  ,        363,        77, 0.20865527174409926, 0.9395821569734614, 0.9407530454042082,         23
       24, 0.00622810421181199   ,        188,        73, 0.24540435260970828, 0.9367231638418079, 0.937984496124031 ,         15
       25, 0.00584000462275332   ,        512,        79, 0.15560106262306014, 0.930934416715032 , 0.9341085271317829,         17
       26, 0.006977840288041718  ,        512,        42, 0.3784974262248209 , 0.9369369369369369, 0.937984496124031 ,         30
       27, 0.0052846865208419636 ,        390,       101, 0.24710689078979028, 0.9359550561797753, 0.9368770764119602,         19
       28, 0.01                  ,        202,        33, 0.2918595823225125 , 0.9407069555302167, 0.9424141749723145,         14
       29, 0.0034664201247166086 ,        120,       112, 0.26100970089586356, 0.9364096792346651, 0.9374307862679956,         22
       30, 0.004665428099305814  ,         64,        63, 0.43535409176320833, 0.9325714285714286, 0.9346622369878184,         17
       31, 0.005044099414333169  ,        512,        92, 0.2113228467629472 , 0.9340974212034384, 0.9363233665559247,         20
       32, 0.00791771172265276   ,        248,        59, 0.16325903063041292, 0.9359773371104816, 0.9374307862679956,         15
       33, 0.007032580688234075  ,        202,        46, 0.3202569853882808 , 0.9339513325608343, 0.9368770764119602,         20
       34, 0.007336060491634419  ,        243,        72, 0.16535104576913495, 0.9384965831435079, 0.9401993355481728,         21
       35, 0.008257759558458172  ,        185,        32, 0.21696689844266862, 0.934010152284264 , 0.9352159468438538,         18
       36, 0.007165857333748498  ,         64,        51, 0.19705250130122712, 0.9321058688147296, 0.9346622369878184,         14
       37, 0.004627580824845484  ,        210,        87, 0.16882576080915432, 0.9407744874715261, 0.9424141749723145,         20
       38, 0.007947173946407312  ,        232,        46, 0.11546673869661983, 0.9351535836177475, 0.9368770764119602,         20
       39, 0.00727349325253755   ,         77,        46, 0.32555254319322385, 0.9353916523727844, 0.9374307862679956,         15
       40, 0.007876109758196515  ,        157,        27, 0.2249015530680952 , 0.9380022962112514, 0.9401993355481728,         23
       41, 0.003947899237313182  ,         69,        39, 0.10138761643694072, 0.9331046312178388, 0.9352159468438538,         18
       42, 0.005746663369602934  ,        199,        60, 0.18364679294575484, 0.9330357142857143, 0.9335548172757475,         20
       43, 0.005113209612652735  ,         91,        70, 0.1                , 0.9354838709677419, 0.937984496124031 ,         16
       44, 0.006070298158284947  ,         80,        72, 0.22564963491161574, 0.9354838709677419, 0.937984496124031 ,         12
       45, 0.0026484455731484355 ,        195,        72, 0.195244536217949  , 0.927485380116959 , 0.9313399778516057,         17
