epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7519370317459106,0.81672203540802,0.12720300257205963,0.1616625040769577
2,0.8588377833366394,0.8754152655601501,0.08937779814004898,0.15244874358177185
3,0.8870459794998169,0.8853820562362671,0.07576248794794083,0.1422552764415741
4,0.8985472321510315,0.8826135396957397,0.0685969814658165,0.13111020624637604
5,0.9105327129364014,0.881506085395813,0.06228172779083252,0.11960799247026443
6,0.9152542352676392,0.8842746615409851,0.05830824002623558,0.1097068265080452
7,0.920460045337677,0.8826135396957397,0.05443394184112549,0.09880084544420242
8,0.9245762825012207,0.8892580270767212,0.052060723304748535,0.08977634459733963
9,0.9236077666282654,0.8942413926124573,0.05234871432185173,0.08258845657110214
10,0.9251816272735596,0.8992248177528381,0.04955444484949112,0.07349390536546707
11,0.9266343712806702,0.9058693051338196,0.04916881397366524,0.0678468868136406
12,0.9308716654777527,0.9136212468147278,0.04682575911283493,0.06154702603816986
13,0.9285714030265808,0.9186046719551086,0.04723483324050903,0.05703192949295044
14,0.9322034120559692,0.9186046719551086,0.04628382995724678,0.05469009652733803
15,0.9341404438018799,0.9219269156455994,0.04579157009720802,0.05084242299199104
16,0.9361985325813293,0.9252491593360901,0.0434577651321888,0.04963188245892525
17,0.9319612383842468,0.9285714030265808,0.04349273443222046,0.04731108620762825
18,0.9331719279289246,0.9291251301765442,0.04255516082048416,0.04715041071176529
19,0.9372881650924683,0.9313399791717529,0.04229682311415672,0.04577561840415001
20,0.9361985325813293,0.935215950012207,0.04125126451253891,0.04371640086174011
21,0.9370459914207458,0.9374307990074158,0.041737668216228485,0.042435333132743835
22,0.9404358267784119,0.9385381937026978,0.039965663105249405,0.04293851554393768
23,0.939830482006073,0.9390919208526611,0.03985295444726944,0.04226104915142059
24,0.9380145072937012,0.9396456480026245,0.03966475650668144,0.04214703291654587
25,0.9417675733566284,0.9374307990074158,0.03825204074382782,0.043915774673223495
26,0.9410411715507507,0.9407530426979065,0.038189858198165894,0.04170263931155205
27,0.9416465163230896,0.9390919208526611,0.03859099745750427,0.041540443897247314
28,0.9435835480690002,0.9401993155479431,0.0370909683406353,0.042630843818187714
29,0.9410411715507507,0.9357696771621704,0.0376790352165699,0.04256115481257439
30,0.9426150321960449,0.9374307990074158,0.03732329607009888,0.04366163909435272
