iteration,learning_rate,batch_size,gru_units,cnn_filters,dense_units,dropout,f1_score,accuracy,epochs_run
53,0.003706325642415993,246,128,87,60,0.18043476681617118,0.9313142239048134,0.9296788482834994,22
54,0.0037803695356792752,204,92,84,41,0.37030659413423633,0.9426048565121413,0.9424141749723145,22
55,0.003451045392464458,127,89,92,45,0.11086597641962699,0.9338565022421524,0.9346622369878184,13
56,0.003466416906382702,218,123,74,46,0.24455328034506896,0.9347116430903155,0.9335548172757475,14
57,0.005791248861638519,323,105,46,21,0.35428241676191186,0.9205414949970571,0.925249169435216,11
58,0.004259449349002019,214,128,74,34,0.22755578810557242,0.937394247038917,0.9385382059800664,15
59,0.0058882515737129085,229,36,44,39,0.1,0.9379310344827586,0.9401993355481728,17
60,0.0034814589477447345,232,62,81,48,0.28247175402040087,0.9298245614035088,0.9335548172757475,13
61,0.0038810284423717416,324,101,77,49,0.30755529480984883,0.9385665529010239,0.9401993355481728,17
62,0.0025166190387970254,209,89,82,39,0.15064751923321504,0.9430985915492958,0.9440753045404208,20
63,0.0021434915877498943,189,128,40,53,0.4056720186155676,0.9385041551246538,0.9385382059800664,14
64,0.0034548394501352224,297,70,62,38,0.3199124156473346,0.928654970760234,0.9324473975636767,15
65,0.003575184584755389,221,100,80,42,0.34091712819846576,0.941638608305275,0.9424141749723145,19
66,0.0025114588356020787,249,77,74,32,0.32811073899473187,0.9299065420560748,0.9335548172757475,14
67,0.003368775966403514,262,61,83,51,0.3717092536759338,0.9331783846600813,0.9363233665559247,15
68,0.003100593998953353,217,98,119,39,0.2596304140559896,0.9385964912280702,0.937984496124031,16
69,0.0029850518868839424,344,84,58,38,0.33741515130648664,0.9285714285714286,0.9324473975636767,19
70,0.0004093617002441402,277,65,81,43,0.3351930521055364,0.9258823529411765,0.9302325581395349,24
71,0.0031233800864255436,295,73,71,45,0.39700152219291124,0.9292343387470998,0.9324473975636767,14
72,0.002583493420177609,295,77,75,48,0.35431867302071085,0.9306930693069307,0.9341085271317829,18
73,0.0021874378841100287,283,73,72,55,0.3373479095015121,0.9190785587714116,0.9241417497231451,15
74,0.0027183799422210732,264,98,68,43,0.31196594888621804,0.9398538504777965,0.9407530454042082,20
75,0.0021839366361448595,292,101,93,45,0.33502264617280364,0.9387283236994219,0.9413067552602437,23
76,0.003110216029054091,285,114,72,59,0.31433589354579466,0.9366799771819737,0.9385382059800664,17
77,0.0030765084743654314,179,91,74,43,0.35976256282854074,0.9417808219178082,0.9435215946843853,15
78,0.0022083699524779554,282,81,67,56,0.24409776069423797,0.9375,0.9390919158361019,18
79,0.0029267383029658975,264,87,101,45,0.26242918166569446,0.9278236914600551,0.9274640088593576,12
80,0.0013469656540403636,322,112,64,43,0.19563158907019762,0.933911159263272,0.9324473975636767,28
81,0.002216222440495527,278,88,79,45,0.36932873572596686,0.9149159663865546,0.9102990033222591,20
82,0.0030964005812310126,298,98,68,52,0.3576916992326744,0.9352841868317389,0.9363233665559247,20
83,0.0015052330051733738,286,97,77,42,0.35818691149087717,0.941638608305275,0.9424141749723145,22
84,0.0024711104092925815,280,94,79,49,0.30009444888191134,0.9365079365079365,0.937984496124031,20
85,0.002545217903084635,292,81,94,52,0.3850388460259462,0.9397042093287827,0.9413067552602437,16
86,0.002502692149713911,284,84,75,51,0.3417216241503635,0.9328743545611016,0.9352159468438538,18
87,0.0027112401103535715,261,90,76,54,0.3283849781672992,0.9382151029748284,0.9401993355481728,18
88,0.00246536702199947,284,75,72,45,0.3500561239974557,0.933115823817292,0.9318936877076412,25
89,0.0027750414188854058,293,92,76,42,0.3600485342930398,0.9093078758949881,0.9158361018826136,9
90,0.0012144716317340507,269,87,68,44,0.22360726671993233,0.9228958210712184,0.9274640088593576,15
91,0.0029174152363143258,283,87,69,47,0.3614350511255269,0.932596685082873,0.9324473975636767,17
92,0.002585325831617115,255,88,70,45,0.30861417232583443,0.9388696655132641,0.9413067552602437,16
93,0.0026680322761366442,281,84,66,47,0.3557699168851798,0.9280692266089778,0.9263565891472868,20
94,0.0028909036108559025,258,88,67,48,0.341985028880657,0.9287383177570093,0.9324473975636767,14
95,0.0028871252756500518,266,90,70,45,0.3293517455323492,0.9303944315545244,0.9335548172757475,14
96,0.002685918742939752,326,100,65,47,0.31737672528465777,0.9325648414985591,0.9352159468438538,15
97,0.0027150609460956025,274,83,76,44,0.3177899961447258,0.9095607235142119,0.9031007751937985,19
98,0.0025292365955752894,255,92,71,45,0.31737440174894366,0.932806324110672,0.9341085271317829,18
99,0.0027484802994139166,268,91,58,46,0.34717170072621695,0.9373202990224266,0.9396456256921373,17
100,0.0022472758853006973,283,89,74,44,0.3586032339371559,0.9257744009351256,0.9296788482834994,16
101,0.002646413609357674,276,90,70,47,0.3405865752635095,0.9,0.9080841638981174,8
102,0.002646413609357674,276,90,70,47,0.3405865752635095,0.8919902912621359,0.9014396456256921,8
103,0.002646413609357674,276,90,70,47,0.3405865752635095,0.9299883313885647,0.9335548172757475,18
104,0.002646413609357674,276,90,70,47,0.3405865752635095,0.9389400921658986,0.9413067552602437,18
105,0.002646413609357674,276,90,70,47,0.3405865752635095,0.9374641422834193,0.9396456256921373,18
106,0.002646413609357674,276,90,70,47,0.3405865752635095,0.9358010410641989,0.9385382059800664,18
107,0.002646413609357674,276,90,70,47,0.3405865752635095,0.9313154831199069,0.9346622369878184,14
108,0.002646413609357674,276,90,70,47,0.3405865752635095,0.9299065420560748,0.9335548172757475,15
109,0.002646413609357674,276,90,70,47,0.3405865752635095,0.934416715031921,0.9374307862679956,18
110,0.002646413609357674,276,90,70,47,0.3405865752635095,0.9331783846600813,0.9363233665559247,18
