epoch,loss,accuracy,auc,val_loss,val_accuracy,val_auc
1,0.08833016455173492,0.8529055714607239,0.9226378202438354,0.12535977363586426,0.9019933342933655,0.9626859426498413
2,0.0597338005900383,0.9111379981040955,0.9593108296394348,0.08638013899326324,0.9080841541290283,0.9673067927360535
3,0.05304378271102905,0.9176755547523499,0.9676702618598938,0.06080276146531105,0.9219269156455994,0.972341775894165
4,0.05000961571931839,0.9237288236618042,0.9709432721138,0.04829634353518486,0.9335548281669617,0.9776753783226013
5,0.04685897007584572,0.9269976019859314,0.9749021530151367,0.04480823129415512,0.930232584476471,0.9789252281188965
6,0.04507306218147278,0.930629551410675,0.977184534072876,0.04198439419269562,0.9390919208526611,0.9797659516334534
7,0.04531450197100639,0.9280871748924255,0.97731614112854,0.04480930045247078,0.9330011010169983,0.9796463251113892
8,0.04215051233768463,0.9351089596748352,0.979809582233429,0.041182372719049454,0.9385381937026978,0.9809023141860962
9,0.040289126336574554,0.9389830231666565,0.9820325970649719,0.05334628373384476,0.9086378812789917,0.9797462821006775
10,0.0397646464407444,0.93813556432724,0.982484757900238,0.050887711346149445,0.9335548281669617,0.9810077548027039
11,0.04097249358892441,0.9368038773536682,0.9811004400253296,0.04076826944947243,0.9413067698478699,0.9814788103103638
12,0.03860092535614967,0.9394673109054565,0.983745276927948,0.04325053095817566,0.936323344707489,0.980196475982666
13,0.03722749650478363,0.9410411715507507,0.9849600195884705,0.04022287204861641,0.9357696771621704,0.981706976890564
14,0.03671157732605934,0.9404358267784119,0.9855165481567383,0.041696324944496155,0.9379844665527344,0.9818026423454285
15,0.036501653492450714,0.9437046051025391,0.9858750104904175,0.04226379096508026,0.9357696771621704,0.9818461537361145
16,0.036484263837337494,0.9412832856178284,0.985725998878479,0.04127543419599533,0.9346622228622437,0.9812304973602295
17,0.03419984132051468,0.9434624910354614,0.9875661134719849,0.04372916370630264,0.9346622228622437,0.9811703562736511
18,0.033865202218294144,0.9460048675537109,0.9879518151283264,0.04119503125548363,0.9346622228622437,0.9821975231170654
19,0.033495064824819565,0.9453995227813721,0.9882450103759766,0.04601283743977547,0.9418604373931885,0.9816222786903381
20,0.03418935835361481,0.9424939751625061,0.9875587224960327,0.0423368476331234,0.9401993155479431,0.9811371564865112
21,0.0317109152674675,0.949999988079071,0.989528477191925,0.044343143701553345,0.9285714030265808,0.9821950793266296
22,0.031147126108407974,0.9503632187843323,0.9901742935180664,0.0433867871761322,0.9390919208526611,0.9817148447036743
23,0.030619150027632713,0.9519370198249817,0.9903392791748047,0.04202866926789284,0.9429678916931152,0.9822386503219604
24,0.03061317466199398,0.9531477093696594,0.9902804493904114,0.04476986452937126,0.9357696771621704,0.9813511967658997
25,0.031154179945588112,0.9506053328514099,0.9899932742118835,0.04306165501475334,0.9263566136360168,0.9826734662055969
26,0.030540579929947853,0.9506053328514099,0.9903182983398438,0.04375815391540527,0.9396456480026245,0.983075737953186
27,0.029777657240629196,0.9518159627914429,0.9909056425094604,0.04198461398482323,0.9357696771621704,0.9816486835479736
28,0.028514645993709564,0.9555690288543701,0.991908073425293,0.04888339713215828,0.9401993155479431,0.9836006164550781
29,0.029811590909957886,0.9539951682090759,0.9909583330154419,0.04676312208175659,0.9429678916931152,0.9828855991363525
30,0.028547732159495354,0.9543583393096924,0.9918028712272644,0.04233222082257271,0.9396456480026245,0.9832608699798584
31,0.028633076697587967,0.9560532569885254,0.9918141961097717,0.0454079769551754,0.9379844665527344,0.9826244115829468
32,0.028115130960941315,0.9543583393096924,0.9920493364334106,0.04686801880598068,0.9263566136360168,0.9825888276100159
33,0.026918107643723488,0.957990288734436,0.9929409623146057,0.04561632126569748,0.9429678916931152,0.9827102422714233
