iteration,learning_rate,batch_size,gru_units,dense_units,dropout,f1_score,accuracy,epochs
50,0.0011562477898389753,52,94,104,0.3725663787780142,0.9213615023474179,0.9258028792912514,10
51,0.0023450020512091104,48,94,52,0.2382494169136468,0.9321839080459771,0.9346622369878184,16
52,0.0015395779315671477,36,128,59,0.4560038761455795,0.9469525959367946,0.9479512735326688,26
53,0.0017679726151968052,62,128,70,0.3649109217963136,0.9341586944288126,0.9352159468438538,24
54,0.002189089995275497,49,109,61,0.38061823099201025,0.9413754227733935,0.9424141749723145,26
55,0.002184624631005221,60,61,107,0.4627957739085062,0.9332559489262914,0.9363233665559247,25
56,0.0007702424748578744,64,128,58,0.3447615146165878,0.9266001174398121,0.9307862679955703,21
57,0.0021838187808917576,56,111,68,0.34718702988299044,0.9346330275229358,0.9368770764119602,21
58,0.002604736018569267,63,113,70,0.3056617731124263,0.936145952109464,0.937984496124031,19
59,0.0017762015373325223,64,97,66,0.3420732381017393,0.9369988545246277,0.9390919158361019,25
60,0.0014454774973177188,54,84,77,0.16406506256880612,0.9233469865418373,0.9274640088593576,9
61,0.0017681651241390423,57,128,52,0.39160913881147796,0.927355278093076,0.929125138427464,17
62,0.0015457467747850568,53,128,64,0.2691160175732254,0.9258823529411765,0.9302325581395349,9
63,0.0020984544598901633,60,106,54,0.3329035102824049,0.9322617680826636,0.9346622369878184,18
64,0.0018256673041922708,50,128,65,0.36151342141055975,0.9402985074626866,0.9424141749723145,22
65,0.002162651204794978,44,121,81,0.42947562832383307,0.9332559489262914,0.9363233665559247,22
66,0.0020708244859507846,42,128,82,0.2959680354801511,0.9368770764119602,0.9368770764119602,21
67,0.0021635212084756294,49,78,73,0.35451873126114863,0.920447849145551,0.925249169435216,9
68,0.0022640487044622076,52,127,56,0.26558290356782,0.9234365867913501,0.9274640088593576,16
69,0.0017072653644355262,37,106,50,0.29946781311098397,0.9376391982182628,0.937984496124031,27
70,0.0016141213040487467,46,113,75,0.3990928728441237,0.9370165745856354,0.9368770764119602,27
71,0.0022841877546816167,51,95,60,0.33926008934443835,0.9352272727272727,0.9368770764119602,21
72,0.0016306287021841677,50,116,71,0.3637512595268219,0.9297736506094022,0.9330011074197121,21
73,0.0017574338571784542,56,128,65,0.34672539482302017,0.9383408071748879,0.9390919158361019,23
74,0.002008413705952169,44,108,67,0.38365347368952935,0.9353348729792148,0.937984496124031,18
75,0.0016155989083832699,52,120,55,0.30860952296323313,0.9369676320272572,0.9385382059800664,21
76,0.0022515796823590704,39,101,84,0.25958569741952686,0.9306590257879657,0.9330011074197121,20
77,0.001596943534442173,43,128,72,0.4485461617368749,0.9374641422834193,0.9396456256921373,23
78,0.00207916641170184,42,83,49,0.3387434842390175,0.9239766081871345,0.9280177187153932,9
79,0.0017738273233154935,37,93,64,0.290662427958953,0.9327199539965497,0.9352159468438538,16
80,0.0018824723564598179,43,121,81,0.27975886946029405,0.9336384439359268,0.9357696566998892,19
81,0.0015513311937273473,46,116,63,0.3419362315671883,0.9299655568312285,0.9324473975636767,16
82,0.0017491509389379624,38,119,62,0.3753484125406059,0.9378596087456847,0.9401993355481728,27
83,0.00165898637115298,50,102,69,0.36291109445163044,0.9268578115857227,0.9307862679955703,8
84,0.0019089788251149577,49,110,71,0.3511948949153729,0.9406494960806271,0.9413067552602437,26
85,0.0017651325012822648,53,110,60,0.36948530245142974,0.9348703170028818,0.9374307862679956,19
86,0.00175592329802049,51,113,72,0.3361206984006619,0.9169121979964644,0.9219269102990033,8
87,0.0015914548482868901,49,101,64,0.3319500332776348,0.9335604770017035,0.9352159468438538,19
88,0.001768637497672339,50,104,64,0.3525006802552025,0.9474272930648769,0.9479512735326688,30
89,0.001605143648484396,56,112,60,0.3441953593258735,0.9468926553672317,0.9479512735326688,29
90,0.0020872678658394816,52,92,60,0.3526651662649087,0.9398969662278192,0.9418604651162791,29
91,0.0016781817308922588,50,119,64,0.38421687956425665,0.9384787472035794,0.9390919158361019,23
92,0.001576782660010782,46,111,60,0.38928531924689974,0.9279907084785134,0.9313399778516057,18
93,0.0016287374914254742,48,110,63,0.3870574534538291,0.939921392476137,0.9407530454042082,30
94,0.0016525604104432226,49,111,63,0.39075816119241574,0.9222737819025522,0.9258028792912514,9
95,0.00165042823251988,49,115,61,0.36708899845189413,0.9417091114883984,0.9429678848283499,30
96,0.0016487513825544575,51,120,59,0.4176003350448478,0.9440993788819876,0.9451827242524917,30
97,0.0016214476493982665,47,106,64,0.39030764942940716,0.9310943833236827,0.9341085271317829,23
98,0.0017274333720481202,44,120,60,0.3944871317636964,0.9363896848137536,0.9385382059800664,18
99,0.0017016174195069005,48,117,63,0.4112167093250034,0.9352272727272727,0.9368770764119602,29
100,0.0016020854555102836,50,114,59,0.4061097231080713,0.9244288224956063,0.9285714285714286,14
101,0.0016377863592412943,48,115,61,0.3842333052422185,0.9317269076305221,0.9341085271317829,21
102,0.0016377863592412943,48,115,61,0.3842333052422185,0.9393767705382436,0.9407530454042082,30
103,0.0016377863592412943,48,115,61,0.3842333052422185,0.9440361786319955,0.9451827242524917,30
104,0.0016377863592412943,48,115,61,0.3842333052422185,0.9445378151260504,0.9451827242524917,27
105,0.0016377863592412943,48,115,61,0.3842333052422185,0.9246054938632379,0.9285714285714286,12
106,0.0016377863592412943,48,115,61,0.3842333052422185,0.9222614840989399,0.9269102990033222,9
107,0.0016377863592412943,48,115,61,0.3842333052422185,0.9205797101449276,0.9241417497231451,9
108,0.0016377863592412943,48,115,61,0.3842333052422185,0.9391891891891891,0.9401993355481728,24
109,0.0016377863592412943,48,115,61,0.3842333052422185,0.9276546091015169,0.9313399778516057,16
110,0.0016377863592412943,48,115,61,0.3842333052422185,0.9258610624635143,0.9296788482834994,10
