Model,gru_units,cnn_filters,dropout,learning_rate,batch_size,Accuracy,Precision,Recall,F1,TP,TN,FP,FN,train_time
Baseline,64,64,0.3,0.0003,256,0.9465357337697763,0.970917225950783,0.9234042553191489,0.9465648854961832,868,867,26,72,0:03:01
GWO-Optimised,111,119,0.21020513140671024,0.0017121242828241111,84,0.933442444080742,0.9951573849878934,0.874468085106383,0.9309173272933182,822,889,4,118,0:02:17
