epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7100484371185303,0.8133997917175293,0.16035817563533783,0.1348177045583725
2,0.8228813409805298,0.8720930218696594,0.11113693565130234,0.07755386084318161
3,0.8783292770385742,0.9019933342933655,0.07921767234802246,0.06426973640918732
4,0.9003632068634033,0.9108527302742004,0.07015465945005417,0.06032467260956764
5,0.9049636721611023,0.9169435501098633,0.06694316864013672,0.05778907239437103
6,0.9095641374588013,0.9180509448051453,0.06378598511219025,0.05670841783285141
7,0.9108958840370178,0.9152823686599731,0.06280459463596344,0.06139647215604782
8,0.9131961464881897,0.9086378812789917,0.06298132985830307,0.062206462025642395
9,0.9123486876487732,0.9197120666503906,0.06237485632300377,0.05894634127616882
10,0.9088377952575684,0.9169435501098633,0.06335863471031189,0.05752341449260712
11,0.9144067764282227,0.9191583395004272,0.061410438269376755,0.05927225947380066
