epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7391040921211243,0.7923588156700134,0.14545972645282745,0.11015843600034714
2,0.8277239799499512,0.8732004165649414,0.09919866174459457,0.07528230547904968
3,0.8841404318809509,0.905315637588501,0.07440655678510666,0.061441946774721146
4,0.9013317227363586,0.9125138521194458,0.06701529771089554,0.058411918580532074
5,0.9064164757728577,0.9163898229598999,0.06364618986845016,0.0569145530462265
6,0.9072639346122742,0.9152823686599731,0.0635429248213768,0.057446759194135666
7,0.9089588522911072,0.9169435501098633,0.06251287460327148,0.058537282049655914
8,0.9127118587493896,0.9208194613456726,0.06129635125398636,0.057527147233486176
9,0.9138014316558838,0.9169435501098633,0.0614812895655632,0.057611193507909775
10,0.9148910641670227,0.9186046719551086,0.06046263501048088,0.05719690024852753
11,0.9154963493347168,0.9191583395004272,0.06107610836625099,0.05707533285021782
12,0.9157385230064392,0.9208194613456726,0.05966074392199516,0.05660710856318474
13,0.9163438081741333,0.921373188495636,0.05953472852706909,0.05601457133889198
14,0.9164648652076721,0.9197120666503906,0.0591459684073925,0.055896516889333725
15,0.9169491529464722,0.921373188495636,0.05929914861917496,0.05553750321269035
16,0.9180387258529663,0.9219269156455994,0.05865929648280144,0.05530925095081329
17,0.9182808995246887,0.9230343103408813,0.058098677545785904,0.055070679634809494
18,0.9077481627464294,0.9180509448051453,0.06402714550495148,0.05768997594714165
19,0.9108958840370178,0.921373188495636,0.060307230800390244,0.055400196462869644
20,0.915375292301178,0.9219269156455994,0.05775945261120796,0.05462668836116791
21,0.9167070388793945,0.9246954321861267,0.05728241801261902,0.053876083344221115
22,0.9185230135917664,0.9246954321861267,0.05609636381268501,0.05305683612823486
23,0.9190072417259216,0.9241417646408081,0.055444926023483276,0.052640654146671295
24,0.9176755547523499,0.9252491593360901,0.05534699186682701,0.05340346693992615
25,0.9200968742370605,0.9263566136360168,0.05516558885574341,0.05307523161172867
26,0.9215496182441711,0.9280177354812622,0.05480043217539787,0.052869126200675964
27,0.9213075041770935,0.9274640083312988,0.05410785228013992,0.05234776437282562
28,0.9208232164382935,0.9285714030265808,0.054074160754680634,0.052112411707639694
29,0.9194915294647217,0.9280177354812622,0.053542863577604294,0.051946014165878296
30,0.9208232164382935,0.9291251301765442,0.05320100858807564,0.0520644448697567
31,0.920944333076477,0.9285714030265808,0.05367447808384895,0.05165451392531395
32,0.9211864471435547,0.9291251301765442,0.05303652957081795,0.05133196711540222
33,0.9214285612106323,0.930232584476471,0.052529387176036835,0.05114144831895828
34,0.9220339059829712,0.9313399791717529,0.052424442023038864,0.05109264329075813
35,0.9208232164382935,0.9285714030265808,0.05231299251317978,0.05121707543730736
36,0.9207021594047546,0.9318937063217163,0.051987797021865845,0.05071684718132019
37,0.9236077666282654,0.9296788573265076,0.051497846841812134,0.05085534602403641
38,0.92167067527771,0.9296788573265076,0.051440875977277756,0.05059972032904625
39,0.920944333076477,0.930232584476471,0.052738774567842484,0.050643254071474075
40,0.9226392507553101,0.930232584476471,0.051546163856983185,0.05021533742547035
41,0.9227603077888489,0.9324473738670349,0.05160968750715256,0.04999728500843048
42,0.9234867095947266,0.9307862520217896,0.05117587372660637,0.049791909754276276
43,0.92215496301651,0.9291251301765442,0.05091606825590134,0.05035623908042908
44,0.9236077666282654,0.9313399791717529,0.051141317933797836,0.04988213628530502
45,0.9234867095947266,0.930232584476471,0.05062834545969963,0.049541402608156204
46,0.9226392507553101,0.930232584476471,0.05049190670251846,0.049523286521434784
47,0.9230024218559265,0.9285714030265808,0.05014678090810776,0.04939859360456467
48,0.92215496301651,0.9280177354812622,0.04984477162361145,0.0494159534573555
49,0.9234867095947266,0.9285714030265808,0.05008086562156677,0.04961923137307167
50,0.923849880695343,0.9280177354812622,0.04981745779514313,0.04992293566465378
51,0.9260290265083313,0.9263566136360168,0.049323197454214096,0.04963444173336029
52,0.9234867095947266,0.9285714030265808,0.04941709712147713,0.04902646690607071
53,0.9245762825012207,0.9280177354812622,0.04912034794688225,0.049082424491643906
54,0.9253026843070984,0.9274640083312988,0.04903911054134369,0.04918931797146797
55,0.9257869124412537,0.930232584476471,0.04914751648902893,0.048909567296504974
56,0.9240919947624207,0.9269102811813354,0.04859745129942894,0.04929976165294647
57,0.9254237413406372,0.9296788573265076,0.048902228474617004,0.048949435353279114
58,0.9243341684341431,0.9307862520217896,0.048443615436553955,0.049441106617450714
59,0.9246973395347595,0.930232584476471,0.04862020164728165,0.0496954470872879
