iter,gru_units,cnn_filters,dropout,learning_rate,batch_size,val_auc,val_f1,n_epochs
1,119,43,0.28949083528702735,0.002045217204876847,41,0.9808772802352905,0.9366515837104072,11
2,38,69,0.4681478186324546,0.0027301558170050727,69,0.979088306427002,0.9335585585585585,14
3,107,74,0.23532008959571704,0.009447372254386407,73,0.978094220161438,0.9259694477085781,7
4,53,41,0.372459356938461,0.0004913293555815678,40,0.9810611605644226,0.9405772495755518,10
5,86,110,0.250147173319444,0.008246144881044396,78,0.9777262210845947,0.9266862170087976,10
6,107,85,0.2706121518733245,0.0004129123543999347,93,0.9813966155052185,0.9380925822643614,11
7,54,118,0.10132311116585663,0.0016868857296348872,85,0.9819240570068359,0.9346443030653557,8
8,96,34,0.17745102491690626,0.0029585878796865557,61,0.9810390472412109,0.9299883313885647,8
9,97,90,0.2987945189265947,0.004877171112123711,81,0.9804111123085022,0.9324247586598523,9
10,127,121,0.3831814458131404,0.003166107061070048,56,0.9807876348495483,0.935374149659864,16
11,100,50,0.32004944895789095,0.0016263718490720097,104,0.9806226491928101,0.9307737056428156,9
12,102,35,0.26930548295011286,0.00011654410595090196,80,0.9806011319160461,0.9352272727272727,22
13,65,77,0.28721002018988384,0.003917328047213648,66,0.9826863408088684,0.932146829810901,13
14,74,122,0.35787291871317545,1e-05,53,0.9741601347923279,0.9253731343283582,30
15,85,37,0.1,0.0028984696756478496,32,0.9801725149154663,0.9299883313885647,7
16,128,69,0.272044569323183,0.002040275504235046,32,0.9792152047157288,0.9288214702450408,5
17,73,67,0.320210343326505,0.0007151845802922798,90,0.979543924331665,0.9252501471453797,11
18,61,102,0.1,0.0009102353212621701,109,0.9813652634620667,0.9376786735277302,11
19,80,95,0.4726858224316917,1e-05,124,0.9650740623474121,0.9070975187536064,30
20,128,69,0.2541138691062936,0.0004588747473048247,128,0.9821116924285889,0.9345686160972785,15
21,122,94,0.24896011566183365,0.0011680849367235173,69,0.9807612895965576,0.939150401836969,8
22,87,69,0.30186882004965937,1e-05,128,0.9667088985443115,0.9109826589595376,30
23,64,68,0.19497712571302483,0.002928840586454618,74,0.9805827736854553,0.9380329732802729,7
24,75,128,0.14261546443242315,0.0011605811749637095,39,0.9828395843505859,0.9336307863915226,13
