iteration,learning_rate,batch_size,gru_units,dropout,f1_score,accuracy,epochs_run
60,0.0050342988479569984,85,128,0.4327185384993079,0.9354838709677419,0.9357696566998892,15
61,0.003201711182076098,125,98,0.5,0.9381735677821894,0.9396456256921373,21
62,0.003258456907871876,131,104,0.5,0.9359391965255157,0.9346622369878184,26
63,0.003913815181474802,87,64,0.5,0.92046783625731,0.9246954595791805,8
64,0.00392797323713518,144,121,0.5,0.9385474860335196,0.9390919158361019,19
65,0.004538148382876463,122,109,0.5,0.9259468626342566,0.9274640088593576,12
66,0.004374212297785771,109,84,0.45922709155968366,0.9366515837104072,0.937984496124031,16
67,0.004880588865357405,114,91,0.5,0.9263607257203842,0.9235880398671097,24
68,0.004074333370684671,130,117,0.4771691991041751,0.9328821206993796,0.9341085271317829,14
69,0.00428205643681166,118,85,0.44550911432853724,0.9352841868317389,0.9363233665559247,20
70,0.003625606501733648,149,80,0.5,0.9354473386183465,0.9368770764119602,21
71,0.0035978922131989517,148,92,0.5,0.9345372460496614,0.9357696566998892,29
72,0.0038103237730080543,104,89,0.5,0.9386160714285714,0.9390919158361019,24
73,0.004018495365964841,112,97,0.5,0.9261430246189918,0.9302325581395349,8
74,0.003885423004935894,126,102,0.49200971212561995,0.9394780677401444,0.9396456256921373,23
75,0.0036733980643464306,132,70,0.5,0.9243306169965075,0.9280177187153932,10
76,0.003889877286777236,110,85,0.5,0.9355555555555556,0.9357696566998892,14
77,0.0036437761879756694,115,83,0.4892844796997761,0.9224441833137486,0.9269102990033222,8
78,0.004028520195631814,113,112,0.45039613217406743,0.9378208784940103,0.9396456256921373,30
79,0.0038273705300832035,98,88,0.5,0.9447236180904522,0.9451827242524917,20
80,0.004020046716472541,146,86,0.5,0.9459007250418293,0.9462901439645626,22
81,0.0033769977470391606,128,77,0.5,0.9411764705882353,0.9424141749723145,25
82,0.0035287138243744382,130,66,0.4996688574904837,0.9403824521934758,0.9413067552602437,27
83,0.003538750345560844,124,64,0.48881812878812103,0.9264118653736452,0.9285714285714286,14
84,0.0036445190365568397,137,70,0.5,0.9369067560022334,0.9374307862679956,30
85,0.00379489686532909,135,64,0.42123948028550307,0.9277389277389277,0.9313399778516057,13
86,0.0036358510070586877,138,87,0.48381551694437736,0.9343891402714932,0.9357696566998892,22
87,0.003780138444368104,131,73,0.5,0.9216263995285798,0.9263565891472868,10
88,0.0036708480385761384,125,80,0.4802499365315723,0.9349775784753364,0.9357696566998892,30
89,0.004090641134304099,126,61,0.5,0.9350947731188972,0.9374307862679956,17
90,0.004748920722523337,135,73,0.40270491641496986,0.9292134831460674,0.9302325581395349,18
91,0.0037867655460903037,122,90,0.5,0.9335604770017035,0.9352159468438538,18
92,0.003860248498956333,122,83,0.48951126837893283,0.9372146118721462,0.9390919158361019,20
93,0.004001666258762695,130,86,0.48658347762052623,0.9369469026548672,0.9368770764119602,20
94,0.003558480632854473,132,86,0.4818501606564884,0.9395667046750285,0.9413067552602437,22
95,0.003922448434093583,123,79,0.5,0.9424141749723145,0.9424141749723145,26
96,0.0037635740383959114,129,82,0.49865922432676885,0.9395973154362416,0.9401993355481728,27
97,0.0037181913875250923,130,81,0.5,0.9391592920353983,0.9390919158361019,27
98,0.003662086795947343,129,84,0.48269874678164976,0.9349371241115364,0.9341085271317829,26
99,0.00361126678853972,124,81,0.5,0.9400769653655855,0.9396456256921373,27
100,0.00351427203697909,125,78,0.5,0.9361465852304275,0.9363233665559247,22
101,0.003923288560216443,122,84,0.5,0.9337142857142857,0.9357696566998892,22
102,0.003923288560216443,122,84,0.5,0.9337142857142857,0.9357696566998892,22
103,0.003923288560216443,122,84,0.5,0.9337142857142857,0.9357696566998892,22
104,0.003923288560216443,122,84,0.5,0.9337142857142857,0.9357696566998892,22
105,0.003923288560216443,122,84,0.5,0.9337142857142857,0.9357696566998892,22
106,0.003923288560216443,122,84,0.5,0.9337142857142857,0.9357696566998892,22
107,0.003923288560216443,122,84,0.5,0.9337142857142857,0.9357696566998892,22
108,0.003923288560216443,122,84,0.5,0.9337142857142857,0.9357696566998892,22
109,0.003923288560216443,122,84,0.5,0.9337142857142857,0.9357696566998892,22
110,0.003923288560216443,122,84,0.5,0.9337142857142857,0.9357696566998892,22
