epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7518159747123718,0.8189368844032288,0.12727856636047363,0.1617516577243805
2,0.8595641851425171,0.8743078708648682,0.08946205675601959,0.1524842083454132
3,0.8859564065933228,0.8809523582458496,0.075761578977108,0.14200299978256226
4,0.8986682891845703,0.881506085395813,0.06847162544727325,0.1306922733783722
5,0.9099273681640625,0.8809523582458496,0.06237521022558212,0.11992287635803223
6,0.9157385230064392,0.8820598125457764,0.05840924754738808,0.11018969118595123
7,0.9200968742370605,0.8787375688552856,0.05446451157331467,0.09918776154518127
8,0.9245762825012207,0.8859357833862305,0.05203479900956154,0.09069772064685822
9,0.9243341684341431,0.895348846912384,0.052225615829229355,0.08269345015287399
10,0.9260290265083313,0.8981173634529114,0.049699995666742325,0.07398051023483276
11,0.927239716053009,0.9058693051338196,0.04914677515625954,0.06831515580415726
12,0.9313559532165527,0.9108527302742004,0.04701482504606247,0.06263092160224915
13,0.9274818301200867,0.9158360958099365,0.04728209227323532,0.058080509305000305
14,0.9332929849624634,0.9197120666503906,0.046421896666288376,0.05506251007318497
15,0.9329297542572021,0.9219269156455994,0.045730382204055786,0.05107240751385689
16,0.9357143044471741,0.9258028864860535,0.04343928396701813,0.0494479164481163
17,0.9329297542572021,0.9307862520217896,0.04327264055609703,0.04675542935729027
18,0.9349879026412964,0.9291251301765442,0.04248862341046333,0.047414377331733704
19,0.9360774755477905,0.9324473738670349,0.04241059347987175,0.0451023243367672
20,0.9364407062530518,0.9324473738670349,0.041204214096069336,0.04398651048541069
21,0.9358353614807129,0.935215950012207,0.04193359613418579,0.04289374500513077
22,0.9412832856178284,0.9374307990074158,0.03998272866010666,0.04378417134284973
23,0.9395883679389954,0.9368770718574524,0.039494819939136505,0.043150272220373154
24,0.9378934502601624,0.9413067698478699,0.03947686031460762,0.04213453084230423
25,0.9416465163230896,0.9374307990074158,0.03794362023472786,0.04362702742218971
26,0.942009687423706,0.9401993155479431,0.03847013786435127,0.04366370663046837
27,0.941525399684906,0.9401993155479431,0.03798559308052063,0.043217796832323074
28,0.9434624910354614,0.9379844665527344,0.03709231689572334,0.04335053637623787
29,0.9418886303901672,0.9313399791717529,0.037741221487522125,0.04483792930841446
30,0.9412832856178284,0.9385381937026978,0.03730931878089905,0.04403827711939812
