epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_auc,val_auc
1,0.15164412558078766,0.12697967886924744,0.7219128608703613,0.7763012051582336,0.8037643432617188,0.869895339012146
2,0.11593139171600342,0.09985186159610748,0.8029055595397949,0.8355481624603271,0.8724120259284973,0.9059417247772217
3,0.09690980613231659,0.07932296395301819,0.8421307802200317,0.8704319000244141,0.9052327275276184,0.935132622718811
4,0.07686487585306168,0.06188137084245682,0.8805084824562073,0.9058693051338196,0.9348734617233276,0.9540278315544128
5,0.0655524730682373,0.05864069238305092,0.903995156288147,0.9091916084289551,0.9488468170166016,0.9579552412033081
6,0.06332780420780182,0.05719054490327835,0.9084745645523071,0.9169435501098633,0.9507875442504883,0.9582287073135376
7,0.06187264621257782,0.057088907808065414,0.9122276306152344,0.9163898229598999,0.9514069557189941,0.9580471515655518
8,0.0613706037402153,0.05755782499909401,0.9116222858428955,0.9186046719551086,0.9518594741821289,0.9584158062934875
9,0.06131947413086891,0.05666131153702736,0.9127118587493896,0.9152823686599731,0.9522749185562134,0.9584771990776062
10,0.06069299578666687,0.05715740844607353,0.9121065139770508,0.920265793800354,0.9522924423217773,0.9584776163101196
11,0.05959467962384224,0.057087771594524384,0.9144067764282227,0.9191583395004272,0.953764796257019,0.9591670036315918
12,0.06017758697271347,0.05692677199840546,0.9151331782341003,0.921373188495636,0.9538449645042419,0.9594141244888306
13,0.0599505715072155,0.05693269893527031,0.9157385230064392,0.9224806427955627,0.953444242477417,0.9593841433525085
14,0.05986771360039711,0.0566839762032032,0.9142857193946838,0.9169435501098633,0.9544912576675415,0.9600083231925964
15,0.058887071907520294,0.05623818561434746,0.9146488904953003,0.9208194613456726,0.95494544506073,0.9602315425872803
16,0.05854278802871704,0.05599074065685272,0.9150121212005615,0.9197120666503906,0.9555270075798035,0.9604977369308472
17,0.05822396278381348,0.055904824286699295,0.9168280959129333,0.920265793800354,0.9558831453323364,0.9607504606246948
18,0.05827552080154419,0.05568237602710724,0.9169491529464722,0.9191583395004272,0.955876350402832,0.9608964323997498
19,0.057735610753297806,0.0552937351167202,0.9164648652076721,0.9208194613456726,0.956885576248169,0.9613950252532959
20,0.057277388870716095,0.0551702119410038,0.9163438081741333,0.9219269156455994,0.9574514627456665,0.9616672992706299
21,0.05731355771422386,0.05496291071176529,0.9174334406852722,0.921373188495636,0.9571852087974548,0.9618340730667114
22,0.057067736983299255,0.054839830845594406,0.9177966117858887,0.9224806427955627,0.9572301506996155,0.9620677828788757
23,0.05690188333392143,0.05479060485959053,0.918765127658844,0.9208194613456726,0.9579545259475708,0.9621518850326538
24,0.05690494552254677,0.05451955646276474,0.9179176688194275,0.9230343103408813,0.9580333232879639,0.9623762369155884
25,0.056749045848846436,0.05426469445228577,0.9174334406852722,0.9241417646408081,0.9584052562713623,0.962687075138092
26,0.05617070943117142,0.05423292890191078,0.9193704724311829,0.9230343103408813,0.9587666988372803,0.9627245664596558
27,0.05595468729734421,0.05410962179303169,0.9184019565582275,0.9224806427955627,0.9593536257743835,0.9632059931755066
28,0.05926279351115227,0.057370997965335846,0.9171912670135498,0.9208194613456726,0.9542803168296814,0.9604302644729614
29,0.05763939768075943,0.05355263501405716,0.9157385230064392,0.9235880374908447,0.9561940431594849,0.9624350666999817
30,0.0563199445605278,0.053675416857004166,0.9164648652076721,0.9241417646408081,0.9587399363517761,0.962996780872345
31,0.05534454435110092,0.05373435467481613,0.919975757598877,0.9252491593360901,0.9607526659965515,0.963205873966217
