iteration,learning_rate,batch_size,gru_units,cnn_filters,dense_units,dropout,f1_score,accuracy,epochs_run
67,0.003727438477204191,64,59,45,123,0.17653497407693172,0.9347951529140219,0.9374307862679956,10
68,0.00276850036267298,64,74,55,106,0.15411734536327185,0.9401026811180833,0.9418604651162791,10
69,0.0018224650372588719,64,70,56,99,0.1618551378970334,0.9328859060402684,0.9335548172757475,14
70,0.0019317491430036156,64,58,59,102,0.20560403068195032,0.9387078961899503,0.9385382059800664,15
71,0.0014841930449907073,56,66,49,84,0.15329197640472614,0.935093509350935,0.9346622369878184,12
72,0.0021471964797287724,64,83,61,75,0.1426663410217488,0.9238197424892703,0.9213732004429679,9
73,0.0015460150989031242,64,58,74,79,0.15691963125950784,0.9377498572244432,0.9396456256921373,13
74,0.0018913690079749377,64,75,57,90,0.1300658591990794,0.9178947368421052,0.9136212624584718,9
75,0.0019015673271153479,59,71,59,69,0.1428419037578235,0.9264864864864865,0.9246954595791805,14
76,0.0012977876602155325,64,62,73,52,0.16603777353912327,0.9393592677345538,0.9413067552602437,15
77,0.0016561357429230423,64,73,75,47,0.12496222504152384,0.9408385985066055,0.9429678848283499,10
78,0.001903432015916278,63,71,50,71,0.18489950285273946,0.9258861439312567,0.9235880398671097,14
79,0.002107918686886435,58,58,60,94,0.14971427767527393,0.9354094579008074,0.937984496124031,7
80,0.0017145443749024582,63,56,53,76,0.1842473543935602,0.9265415549597855,0.9241417497231451,17
81,0.002137491061958176,59,69,52,79,0.17000341996035695,0.9249183895538629,0.9235880398671097,13
82,0.0017347106574065717,64,68,61,79,0.1773341652532782,0.9312354312354313,0.9346622369878184,7
83,0.002246121621639465,54,68,59,82,0.162724811756931,0.9381327334083239,0.9390919158361019,9
84,0.0019182843244305795,63,64,45,80,0.18799931904799186,0.926829268292683,0.9302325581395349,7
85,0.0016402559817219999,59,72,59,74,0.16150201389124338,0.9419642857142857,0.9424141749723145,13
86,0.0015019070518177793,51,68,50,74,0.15818095881443817,0.9407744874715261,0.9424141749723145,9
87,0.0019957197808329794,54,64,49,82,0.134423709705313,0.9329446064139941,0.9363233665559247,8
88,0.0019214357648070128,61,70,52,83,0.15716248991727136,0.9432463110102156,0.9446290143964563,13
89,0.0023950403814008057,64,71,54,81,0.15236588232521855,0.8971109984794728,0.8875968992248062,9
90,0.0018597707793174,56,64,54,78,0.18154557725487272,0.9375,0.9390919158361019,13
91,0.0016663193996798887,64,72,58,79,0.15372911973734535,0.9301788805539527,0.9330011074197121,7
92,0.001947031427762704,62,72,57,83,0.15593831771144023,0.9217847769028872,0.9174972314507198,17
93,0.00201107511523257,64,73,58,79,0.14189222052751135,0.9291983616149795,0.9330011074197121,11
94,0.0019477832334248134,64,73,58,77,0.11732459244620767,0.898521162672106,0.8898117386489479,9
95,0.0018979400780727974,60,68,55,82,0.1595041810727599,0.9351851851851852,0.937984496124031,10
96,0.00188519562605268,64,70,57,83,0.14884208278823155,0.9352360043907794,0.9346622369878184,13
97,0.0018944376406583674,64,68,56,83,0.14733165326014458,0.9331783846600813,0.9363233665559247,8
98,0.0018541876801587472,59,72,53,86,0.14783721777233189,0.9331783846600813,0.9363233665559247,8
99,0.0018635518717123858,64,69,59,87,0.1527302745808791,0.9351851851851852,0.937984496124031,10
100,0.0017765594823534933,58,64,58,81,0.15640481050567281,0.9341875364006988,0.9374307862679956,8
101,0.0018053180176007659,63,69,57,81,0.14792322878061193,0.9335644136337378,0.9363233665559247,7
102,0.0018053180176007659,63,69,57,81,0.14792322878061193,0.9452286843591191,0.9462901439645626,20
103,0.0018053180176007659,63,69,57,81,0.14792322878061193,0.9380630630630631,0.9390919158361019,13
104,0.0018053180176007659,63,69,57,81,0.14792322878061193,0.9381615598885794,0.9385382059800664,11
105,0.0018053180176007659,63,69,57,81,0.14792322878061193,0.934331797235023,0.9368770764119602,7
106,0.0018053180176007659,63,69,57,81,0.14792322878061193,0.9279437609841827,0.9318936877076412,7
107,0.0018053180176007659,63,69,57,81,0.14792322878061193,0.9386401326699834,0.9385382059800664,13
108,0.0018053180176007659,63,69,57,81,0.14792322878061193,0.9310144927536231,0.9341085271317829,7
109,0.0018053180176007659,63,69,57,81,0.14792322878061193,0.9291154071470415,0.9330011074197121,8
110,0.0018053180176007659,63,69,57,81,0.14792322878061193,0.9428891377379619,0.9435215946843853,9
