epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7928571701049805,0.8737541437149048,0.11038590967655182,0.16016213595867157
2,0.8871670961380005,0.8909191489219666,0.07507606595754623,0.15130676329135895
3,0.9088377952575684,0.8748615980148315,0.0647086575627327,0.14197248220443726
4,0.914164662361145,0.8709856271743774,0.058844201266765594,0.13225466012954712
5,0.9205811023712158,0.8687707781791687,0.0546831414103508,0.1224086582660675
6,0.9223970770835876,0.880398690700531,0.05196281149983406,0.11142176389694214
7,0.9242130517959595,0.881506085395813,0.0498228520154953,0.10101590305566788
8,0.9265133142471313,0.8887042999267578,0.04797978699207306,0.09110486507415771
9,0.9302663207054138,0.8986710906028748,0.0466877743601799,0.0819220170378685
10,0.9285714030265808,0.905315637588501,0.04523124918341637,0.07345519959926605
11,0.9308716654777527,0.9058693051338196,0.04467356204986572,0.06816717237234116
12,0.9323244690895081,0.9130675792694092,0.04367953911423683,0.06235811859369278
13,0.9357143044471741,0.9186046719551086,0.042785074561834335,0.05654454603791237
14,0.9349879026412964,0.9208194613456726,0.041787248104810715,0.05420351400971413
15,0.9353510737419128,0.9230343103408813,0.04148891940712929,0.05155887082219124
16,0.93813556432724,0.9246954321861267,0.039845291525125504,0.05178794264793396
17,0.941525399684906,0.9291251301765442,0.03899475932121277,0.04826878383755684
18,0.9406779408454895,0.9324473738670349,0.03790198266506195,0.04691176488995552
19,0.9421307444572449,0.935215950012207,0.03784312307834625,0.04618784412741661
20,0.9405568838119507,0.9368770718574524,0.037739504128694534,0.04589444026350975
21,0.9427360892295837,0.936323344707489,0.03723281994462013,0.048184458166360855
22,0.944915235042572,0.9424141645431519,0.037181511521339417,0.04469790309667587
23,0.9417675733566284,0.9390919208526611,0.03595304489135742,0.04336361587047577
24,0.9441888332366943,0.9418604373931885,0.03610476851463318,0.0448136180639267
25,0.9455205798149109,0.936323344707489,0.03504687920212746,0.0439617820084095
26,0.9461259245872498,0.9374307990074158,0.034233126789331436,0.04459034651517868
27,0.9508474469184875,0.9374307990074158,0.03439437970519066,0.04478180408477783
28,0.9491525292396545,0.9396456480026245,0.03353241831064224,0.04709206894040108
