epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_auc,val_auc
1,0.0753125250339508,0.05837683752179146,0.8820823431015015,0.9180509448051453,0.9362373352050781,0.955346941947937
2,0.06747827678918839,0.053332388401031494,0.9035108685493469,0.9186046719551086,0.9462250471115112,0.9647998809814453
3,0.057646628469228745,0.05335044488310814,0.9150121212005615,0.9230343103408813,0.9576194882392883,0.9701756834983826
4,0.052985578775405884,0.049540989100933075,0.9196125864982605,0.9241417646408081,0.9643857479095459,0.972912073135376
5,0.05020616576075554,0.047145310789346695,0.9225181341171265,0.9274640083312988,0.9687238335609436,0.9746108055114746
6,0.04758886620402336,0.04657832533121109,0.9253026843070984,0.9296788573265076,0.9723978638648987,0.9753332734107971
7,0.045940473675727844,0.04589343070983887,0.9291767477989197,0.930232584476471,0.9747390747070312,0.9758796691894531
8,0.04419887438416481,0.04684268683195114,0.9309927225112915,0.9307862520217896,0.9768515825271606,0.9762004017829895
9,0.04300781711935997,0.04676198959350586,0.9332929849624634,0.9296788573265076,0.9781752228736877,0.977439820766449
10,0.0414273701608181,0.04629068821668625,0.9359564185142517,0.9330011010169983,0.9802528619766235,0.9779464602470398
11,0.0411251038312912,0.04820159822702408,0.9377723932266235,0.9346622228622437,0.9807141423225403,0.9779850244522095
12,0.03955501317977905,0.047226618975400925,0.9395883679389954,0.934108555316925,0.9824542999267578,0.9782941341400146
13,0.03785327821969986,0.047516219317913055,0.9410411715507507,0.9374307990074158,0.9840503334999084,0.9785757064819336
14,0.03662280738353729,0.04730970785021782,0.9427360892295837,0.936323344707489,0.9854159951210022,0.9776164889335632
15,0.03499606251716614,0.04566795006394386,0.9435835480690002,0.9374307990074158,0.9869666695594788,0.9792717099189758
16,0.03380926325917244,0.045434851199388504,0.9440677762031555,0.9374307990074158,0.9877449870109558,0.9795771241188049
17,0.032986100763082504,0.04745006561279297,0.9469733834266663,0.9346622228622437,0.9886504411697388,0.9774245023727417
18,0.03255711868405342,0.045998331159353256,0.9470944404602051,0.935215950012207,0.9889616966247559,0.9806938767433167
19,0.0300601776689291,0.04830440506339073,0.9524213075637817,0.9357696771621704,0.9908198118209839,0.9803221225738525
20,0.028458688408136368,0.04874158650636673,0.9543583393096924,0.935215950012207,0.9917662739753723,0.9803718328475952
21,0.02673240378499031,0.053393274545669556,0.9559321999549866,0.9379844665527344,0.9930768609046936,0.978875458240509
22,0.02754998952150345,0.055368874222040176,0.9529055953025818,0.935215950012207,0.9924601316452026,0.9782107472419739
23,0.027943918481469154,0.049501243978738785,0.9536319375038147,0.9401993155479431,0.9925054907798767,0.9790815711021423
