Model        , LR                   , Batch, GRU_Units, Dropout            , Accuracy          , Precision         , Recall            , F1-Score          , TP , TN , FP, FN , Training_Time
Baseline     , 0.0003               ,   256,        32, 0.3                , 0.9318057828696127, 0.9743888242142026, 0.8904255319148936, 0.9305169538632574, 837, 871, 22, 103, 0:03:38
GWO-Optimized, 0.0037204699754590574,    81,        55, 0.25003341071590346, 0.9405346426623022, 0.9748571428571429, 0.9074468085106383, 0.9399449035812673, 853, 871, 22,  87, 0:01:52
