Model,LR,Batch,GRU_Units,Dropout,Accuracy,Precision,Recall,F1-Score,TP,TN,FP,FN,Training_Time
Baseline,0.0003,256,32,0.3,0.911620294599018,0.9491916859122402,0.874468085106383,0.9102990033222591,822,849,44,118,0:01:06
GWO-Optimized,0.004020046716472541,146,86,0.5,0.944899072558647,0.956474428726877,0.9351063829787234,0.9456697149004841,879,853,40,61,0:05:16
