epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_auc,val_auc
1,0.09381727129220963,0.06765733659267426,0.8355932235717773,0.8931339979171753,0.9109498262405396,0.948020339012146
2,0.0667685866355896,0.05488675460219383,0.9041162133216858,0.9186046719551086,0.9456562995910645,0.9629925489425659
3,0.05762627720832825,0.05305054783821106,0.9169491529464722,0.9241417646408081,0.9573620557785034,0.9641141891479492
4,0.05617164820432663,0.05134791508316994,0.9162227511405945,0.9246954321861267,0.9602094888687134,0.9678771495819092
5,0.05303012207150459,0.04937306419014931,0.9198547005653381,0.9246954321861267,0.9649617671966553,0.9709521532058716
6,0.05180953070521355,0.048726677894592285,0.9219128489494324,0.9263566136360168,0.966232180595398,0.9698660373687744
7,0.05029381439089775,0.047347307205200195,0.9253026843070984,0.9285714030265808,0.9685879945755005,0.9717119932174683
8,0.049582432955503464,0.048631470650434494,0.9228813648223877,0.921373188495636,0.9692093133926392,0.9708981513977051
9,0.04898427426815033,0.04858241602778435,0.9243341684341431,0.9241417646408081,0.9705731868743896,0.97273850440979
10,0.04704761877655983,0.04459809139370918,0.9259079694747925,0.9307862520217896,0.973198652267456,0.975381076335907
11,0.047216564416885376,0.04722718521952629,0.9237288236618042,0.9274640083312988,0.9745211601257324,0.9750572443008423
12,0.04550616070628166,0.043863341212272644,0.9271186590194702,0.9291251301765442,0.9757856130599976,0.976632833480835
13,0.043794114142656326,0.04460664093494415,0.9294188618659973,0.9307862520217896,0.977597713470459,0.9762096405029297
14,0.04277563840150833,0.04300808906555176,0.9285714030265808,0.9346622228622437,0.9793660044670105,0.9786221981048584
15,0.04232572019100189,0.043103594332933426,0.9326876401901245,0.9357696771621704,0.9796092510223389,0.9786571264266968
16,0.03977879136800766,0.0446576289832592,0.9347457885742188,0.9296788573265076,0.9821970462799072,0.9794532060623169
17,0.03971664234995842,0.04161710664629936,0.9376513361930847,0.9396456480026245,0.9827486276626587,0.9804718494415283
18,0.0369308777153492,0.04153187572956085,0.9421307444572449,0.9407530426979065,0.9855006337165833,0.9805545806884766
19,0.03550209477543831,0.040384724736213684,0.9435835480690002,0.946290135383606,0.9865201711654663,0.9821282625198364
20,0.03720652312040329,0.04468647390604019,0.9410411715507507,0.9318937063217163,0.9852464199066162,0.9799492359161377
21,0.03341234475374222,0.04126376286149025,0.9457626938819885,0.9429678916931152,0.9882374405860901,0.9804847240447998
22,0.034373678267002106,0.04413047432899475,0.9424939751625061,0.9390919208526611,0.9873822331428528,0.9793360233306885
23,0.031106093898415565,0.04225563257932663,0.9489104151725769,0.9424141645431519,0.990021288394928,0.9811121225357056
24,0.029954703524708748,0.044285450130701065,0.9533898234367371,0.9424141645431519,0.9911047220230103,0.9809913039207458
