Weight_Option,Weights,Accuracy,Precision,Recall,F1,Epochs
1,"{0: 1.0, 1: 5.0}",0.734375,0.2675736961451247,0.7763157894736842,0.3979763912310287,50
2,"{0: 1.0, 1: 7.0}",0.7194940476190477,0.2559652928416486,0.7763157894736842,0.38499184339314846,50
3,"{0: 1.0, 1: 7.8}",0.6622023809523809,0.22841726618705036,0.8355263157894737,0.3587570621468927,50
4,"{0: 1.0, 1: 8.0}",0.6912202380952381,0.23856858846918488,0.7894736842105263,0.366412213740458,50
5,"{0: np.float64(1.0006298551333193), 1: np.float64(0.9993709373034179)}",0.8883928571428571,0.5113636363636364,0.29605263157894735,0.375,50
