epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7219128608703613,0.7763012051582336,0.15164412558078766,0.12697967886924744
2,0.8029055595397949,0.8355481624603271,0.11593139171600342,0.09985179454088211
3,0.8421307802200317,0.8704319000244141,0.09690979868173599,0.079322949051857
4,0.8805084824562073,0.9058693051338196,0.0768648311495781,0.061881259083747864
5,0.903995156288147,0.9091916084289551,0.06555245816707611,0.058640655130147934
6,0.9084745645523071,0.9169435501098633,0.06332778930664062,0.05719040706753731
7,0.9122276306152344,0.9163898229598999,0.06187272071838379,0.057089269161224365
8,0.9116222858428955,0.9186046719551086,0.061370763927698135,0.05755739286541939
9,0.9128329157829285,0.9152823686599731,0.0613187775015831,0.05665917322039604
10,0.9121065139770508,0.920265793800354,0.06069183349609375,0.057157330214977264
11,0.9144067764282227,0.9191583395004272,0.059594299644231796,0.05708800628781319
12,0.9151331782341003,0.921373188495636,0.060176968574523926,0.05692676082253456
13,0.9157385230064392,0.9224806427955627,0.059950292110443115,0.05693167448043823
14,0.9142857193946838,0.9169435501098633,0.05987078696489334,0.05668986961245537
15,0.9145278334617615,0.9208194613456726,0.05889285355806351,0.05623779818415642
16,0.9151331782341003,0.9197120666503906,0.058542829006910324,0.05599187687039375
17,0.9169491529464722,0.920265793800354,0.05822432413697243,0.055898021906614304
18,0.9169491529464722,0.9191583395004272,0.058289483189582825,0.055681224912405014
19,0.9164648652076721,0.920265793800354,0.05772995948791504,0.05530804395675659
20,0.9162227511405945,0.9219269156455994,0.057269386947155,0.05518454313278198
21,0.9173123240470886,0.921373188495636,0.05733126774430275,0.0549779012799263
22,0.9176755547523499,0.9224806427955627,0.05708199366927147,0.05484790727496147
23,0.9184019565582275,0.921373188495636,0.056942418217659,0.05484040454030037
24,0.9181597828865051,0.9230343103408813,0.05693136155605316,0.05453355237841606
25,0.9176755547523499,0.9241417646408081,0.05672764778137207,0.05431903898715973
26,0.9194915294647217,0.9230343103408813,0.056172095239162445,0.05423355847597122
